"idservicio","nombre","mercado","tipo","infraestructura","descripcion","resultados","fregistro","informante","entidad","autorizado"
"10","Diseño, Instalación y Mantenimiento de Sistemas Eólicos de baja potencia para generación de energía electrica en sistemas aislados.","1. Viviendas Familiares.
2. Centros Educativos.
3. Centros de Salud.
4. Centros de Producción.","2","1. Instrumentos de medición de viento.
2. Software de diseño.","Consiste en elaborar el diseño del sistema eólico para generación de energía electrica, tomando en cuenta la demanda suministrada por el solicitante del servicio. Una vez diseñado el sistema eólico se procede a su instalación y puesta en operación. El servicio puede incluir la realización de los mantenimientos preventivos o correctivos necesarios de la instalación.","1. Diseñado el sistema eólico de acuerdo a la demanda de energía eléctrica solicitada por el cliente.
2. Instalado y operando el sistema eólico para generación de energía eléctrica","2010-09-29","Eduardo Agustín Sú Aguilar","GPE","Si"
"107","Diseño, desarrollo, aplicación y evaluación de materiales educativos multimedia.","Docentes, universidades, empresas públicas y privadas.","33","Aula, Internet, computadoras","\N","\N","2010-10-28","Norman René Trujillo Zapata","uol","Si"
"12","Diseño, Instalación y Mantenimiento de Sistemas Eólicos para bombeo de agua con fines de riego agricola, ganaderia y consumo humano.","1. Viviendas Familiares.
2. Centros Educativos.
3. Centros de Salud.
4. Centros de Producción.
5. Fincas agrícolas.
6. Fincas ganaderas.
7. Comunidades rurales.","2","1. Instrumentos de medición de viento.
2. Software de diseño.","Consiste en elaborar el diseño del sistema eólico para bombeo de agua con fines de riego agrícola, ganaderia y consumo humano, tomando en cuenta la demanda suministrada por el solicitante del servicio. Una vez diseñado el sistema eólico se procede a su instalación y puesta en operación. El servicio puede incluir la realización de los mantenimientos preventivos o correctivos necesarios de la instalación.","1. Diseñado el sistema eólico de acuerdo a la demanda de consumo de agua 
    solicitada por el cliente.
2. Instalado y operando el sistema eólico para bombeo de agua.","2010-09-30","Eduardo Agustín Sú Aguilar","GPE","Si"
"18","Asesoria en Practicas de Gestion Estrategica de Servicios de Tecnologias de Informacion ","Servicio orientado al sector publico y privado de las TIC, (Instituciones y/o Empresas)","2","Laboratorio, Software especializado.","Asesoria enfocada en evaluar practicas de gestion estrategicas en organizaciones proveedoras de servicios de tecnologias de informacion con  el objetivo de facilitar la toma de decisiones acerca de las oportunidades de mejores practicas. 
Evaluacion de practicas de gestion estrategica de tecnologias de informacion en base a mejores practicas de gestion de ITIL ( Information Technology Infrastructure Library).","Casos de Estudios en la Direccion General de Aduanas (DGA), UNI, UNA, UNAN-Managua, UNAN-Leon,  CABLENET y AMNET","2010-10-08","Anayanci Lopez","ASDI-FEC","Si"
"13","Construcción de aerogenerador de imanes permanentes con aspas de p.v.c. de 1000 watt de potencia nominal para generación de energía eléctrica.","1. Viviendas rurales.
2. Gobiernos Municipales
3. Instituciones del estado
4. ONG.","5","1. Herramientas Manuales y Eléctricas de trabajo.
2. Instrumentos de medición.
3. Maquinas - Herramientas (torno, taladros de banco, esmeriladora, etc.)","Consiste en ofertar aerogeneradores de imanes permanentes de hasta 1000 watt de potencia nominal para generación de energía eléctrica que se fabrican en las instalaciones de la UNI a bajo costo y con material local.","1. Aerogenerador de imanes permanentes construido según las especificaciones del solicitante.","2010-09-30","Eduardo Agustín Sú Aguilar","GPE","Si"
"14","Curso en energía eólica","1. Estudiantes de pregrado y postgrado.
2. Gobiernos regionales y municipales.","3","1. Equipos de Oficina (Laptop Y Datashow).
2. Instrumentos de medición de viento.
3. Software especializados","Consiste en ofertar curso de capacitación en energía eólica para estudiantes y técnicos interesados en aprender a:
 - Evaluar el potencial eólico de un sitio de medición para el desarrollo de un parque eólico conectado al SIN o sistema aislado. 
 -  Diseñar, instalar y operar sistemas eólicos para generación de energía electrica a pequeña y gran escala.
 -  Diseñar, instalar y operar sistemas eólicos para bombeo de agua. ","1. Personal capacitado en la evaluación, diseño, instalación y operación de sistemas eólicos con fines de generación de energía eléctrica o bombeo de agua.","2010-09-30","Eduardo Agustín Sú Aguilar","GPE","Si"
"15","Capacitación y Formación a estudiantes de Educación Secundaria.
Capacitación a Maestros de Primaria y Secundaria del área de Matemática","Estudiantes de secundaria
Maestros de primaria y Secundaria","3","Aulas del IES -UNI.  Laboratorio de UNI- On Line.
Con financimiento parcial de la Fundación UNO","Curso de capacitación a estudiantes durante dos semestres (30 sábados)
Curso de formación docente en Matemática, cuatro módulos, ","Formación y preparación a  80 estudiantes de 7mo. a 11vo. grado de secundaria.
Capacitación y actualización a 160 maestros del departamento de Rivas.","2010-10-04","María Auxiliadora Cortedano Larios","ASJT","Si"
"16","Disenio de Sistemas de Tecnologias de Informacion","Instituciones Publicas y Privadas, incluyendo las PYMES ","11","Hardware y Sofware para redes, bases de datos, etc.","Mejora de la Capacidad en la Infraestructura del Sistema de Informacion de la Entidad a la que se le brinda el servicio.","INPYME, Contraloria General de la Republica de Nicaragua ","2010-10-04","Marvin Arias","ASDI-FEC","Si"
"17","Estudios de Impacto Ambiental","ONG, Empresa estatal y privada. Alcaldías ","11","Software, computadoras","Elaboración de linea base ambiental
Identificación de impactos Ambientales
Valoración de impactos ambientales identificados
Medidas Ambientales
Programa de Gestión Ambiental
Plan de Monitoreo
Plan de seguimiento Ambiental ","Estudios y Evaluación de Impacto Ambiental.
Urbanizaciones
Hidroeléctrica
Beneficio de Café
Zona Franca Textil
Supermercados
Gasolineras
","2010-10-07","Wilfredo Varela Fonseca","PEAUT","Si"
"189","Supervisión de la construcción de los sistemas diseñados (Aguas residuales, etc.)","\N","2","Equipo de oficina, camaras digitales, GPS","Se supevisa cada uno de los sistemas que se han diseñado para los distintos usuarios","\N","2010-11-09","Russell Joseph - DI","BIOMASA","Si"
"43","Curso-Taller ""Procesos de Autoevaluación con Fines de Mejoramiento en la Educación Superior""","Miembros de las instituciones de educación superior del país.","3","Aula en el edificio de posgrado","Crear competencias para desepeñarse como futuros evaluadores de programas académicos y de instituciones de la educación superior.","22 Participantes capacitados en el 2008","2010-10-26","Manuel Hernández Téllez","PIEAU","No"
"49","Pasantía ""Organización y Funcionamiento de l Sistema de Aseguramiento de la Calidad en la Educación Superior""","Miembros de la instituciones de la educación superior","28","Instalalaciones del programa
Computadora asignada para cada persona que realiza la pasantía
Capacidad para dos persona
Tiempo de duración: 1 semana
Microsoft office 2003
Datashow
Computadora portátil
Material didáctico
Sotfware SPSS V.15
","Intercambiar experiencias entre los participantes y los miembros del programa sobre los procesos de autoevaluación y acreditación realizados en la institución y en los programas académicos.","14 personas capacitadas","2010-10-26","Manuel Hernández Téllez","PIEAU","No"
"30","Curso de SPSS","Profesionales, estudiantes o técnicos que trabajan o estudian en el campo de la investigación social, científica o económica y a todos los interesados en temática.","21","Laboratorio de Computo, Data show, Prpgrama SPSS","Desarrollar habilidades analíticas con la aplicacción de los análisis estadísticos a datos reales, a través de una herramienta necesarias para la aplicación de los conocimientos teóricos básicos de la estadistica descriptiva e inferencial en base de datos en SPSS.","Se pretende iniciar el primer curso con esta herramienta a inicios del próximo año.","2010-10-19","Patricia Izamara Medal Zapata","PAE","Si"
"22","Calibración y certificación de masas de 1mg a 20 kg clase de exactitud F1 (OIML) o inferiores y 50 kg clase de exactitud M1 (OIML) o inferiores","Empresas de las ramas o sectores de laboratorios de ensayos y calibración , centros de investigación, azucarero, agrícola, ganadería, cemento, hidrocarburo, lácteos, cerveza, plásticos, y empresas de reparación, mantenimiento y comercialización de instrumentos de pesaje, entre otros.","13","Laboratorio de masas diseñado para mantener condiciones de ambiente controlado de temperatura, humedad relativa, y presión, juegos de masas de las clases E1, E2, F1, M1,  dispositivos y equipos auxiliares trazables a Laboratorios Nacionales Primarios (trazabilidad internacional) , comparadores de masas y equipos de computación","Las calibraciones de las masas patrones se realizan de conformidad a procedimientos y métodos normalizados o reconocidos internacionalmente (método de doble sustitución)","Brindadas 340  calibraciones de masas patrones (enero-agosto 2010) a empresas de las ramas o sectores de laboratorios de ensayos y calibración, centros de investigación, azucarero, hidrocarburo, agrícolas, mariscos, fármacos, lácteos, cerveza, zona franca, café, cereales,) plásticos, empresas de reparación, mantenimiento y comercialización de instrumentos de pesaje ","2010-10-13","Gustavo A. Montiel","LANAMET","Si"
"72","Diplomado en Planeamiento Ambiental y Desarrollo Rural","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","25","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental","Formación de Diplomados en Planeamiento Ambiental y Desarrollo Rural.","Graduados Diplomados en Planeamiento Ambiental y Desarrollo Rural. Clientes o Entidades a quien se brindó el servicio: Funcionarios de Instituciones Públicas y Privadas.","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
"24","Postgrado en la Enseñanza de la Gerencia de Empresas Familiares","Profesores de universidades nicaraguenses","3","aulas, equipos audio-visuales","desarrollo de competencias","profesionales habilitados para enseñar contenidos de la gerencia de empresas familiares","2010-10-14","Leonardo Centeno Caffarena","PEF","Si"
"45","Curso-Taller ""Análisis de Datos Cuantitativos de Procesos de Autoevalución con el Paquete Estadístico SPSS V.15","Miembros de las instituciones de la educación superior","3","Aula del edificio de posgrado
Software SPSS V.15
Capacidad para 25 personas","Dotar a los participantes en el manejo del sotfware SPSS para analizar datos provenientes de los procesos de autoevaluación llevado a cabo a nivel institucional y de programas académicos.","12 personas capacitadas en el 2009","2010-10-26","Manuel Hernández Téllez","PIEAU","No"
"73","Diplomado en Planeamiento Ecoturístico","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","25","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental","Formación de Diplomados en Planeamiento Ecoturístico.","Graduados Diplomados en Planeamiento Ecoturístico. Clientes o Entidades a quien se brindó el servicio: Funcionarios de Instituciones Públicas y Privadas","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
"26","Curso de Excel Avanzado","Todos aquellos profesionales relacionados a las áreas de formulación y gestión de proyectos, gestión presupuestaria, áreas contables,  financieras, planificación y demás personas interesadas","21","Laboratio de computo, Data show, Office 2007","Adquirir la capacidad de explotar las características más importantes de la herramienta, así como integrar información de distintas fuentes, tomar decisiones en función a las diferentes soluciones a un problema dado y automatizar las labores mas frecuentes sobre la hoja de cálculo. Usamos EXCEL 2007. ","Capacitados aproximadamente a 200 personas de las siguientes instituciones: GMG, Eskimo, Nitlapan (uca), Femuprocan, Mango S.A, fudemi, INATEC, Concretera Total, Cooperación Suiza, Cooperación Alemana, Hansac International S.A, OPS-OMS, UENIC, entre otras isntituciones","2010-10-15","Patricia Izamara Medal Zapata","PAE","Si"
"138","Estudios sobre Gestión del Riesgo","Alcaldías municipales","11","Instrumentos, softwares para la Gestión del Riesgo","visitas de campo, análisis de amenazas, evaluación de vulnerabilidad, Propuesta de medidas a seguir para la Gestión del Riesgo.","Mejoramiento de software Sistema de Evaluación de Indicadores Ambientales","2010-10-30","Wilfredo Varela Fonseca","PEAUT","Si"
"46","Diplomado en Autoevaluación y Acreditación en Instituciones de la Educación Superior","Miembros de las instituciones de la educación superior del país.","25","Curso en línea en la Plataforma UNI-ONLINE
Aula de posgrado para la realización de las sesiones presenciales
Laboratorio de computación de la UNI-ONLINE
Material didáctico indexado en el curso en línea","Capacitar a los participantes en los conceptos, metodologías y los resultados de los procesos de autoevaluación y acreditación de instituciones y programas académicos.","0 personas capacitadas","2010-10-26","Manuel Hernández Téllez","PIEAU","No"
"20","Calibraciones de balanzas analiticas de alcance máximo 200 g ","Empresas de las ramas o sectores de Hidrocarburo, fármacos, agrícola, alimentos (lacteos, cerveza, pollo, café, cereales,) plásticos, mariscos, empresas de reparación, mantenimiento y comercialización de instrumentos de pesaje, laboratorios de ensayos y calibración , centros de investigación","13","Juegos de masas de la calidad, de acuerdo a los requerimientos metrológicos de las balanzas a calibrar, dispositivos para tomar lecturas de las condiciones de ambiente (las calibraciones de las balanzas se llevan a cabo en campo o sitio de trabajo), computadora para procesar datos.","Las calibraciones de las balanzas se realizan de conformidad a procedimientos y métodos normalizados o reconocidos internacionalmente (Guía para la calibración de instrumentos de pesaje de funcionamiento no automatico-NAWI- o OIML_R-76 )","Brindadas 645 calibraciones de balanzas (enero-agosto 2010) de empresas de las ramas o sectores de Hidrocarburo, farmacos, agrícola, alimentos (lacteos, carnes vacuna y cerdo, cerveza, pollo, café, cereales,) plasticos, mariscos, empresas de reparacion, mantenimiento y comercialización de instrumentos de pesaje, laboratorios de ensayos y calibración , centros de investigación. Nota incluidas en el total balanzas comerciales","2010-10-13","Gustavo Adolfo Montiel","LANAMET","Si"
"29","Formación y Gestión de Empresas","Dirigido a","3","Un salón con ventilación, laboratorio de computo, equipos audio visuales (computadora, data show, parlantes)","Curso esta comprendido en siete módulos: Propiedad Intelectual, generación y evaluación de ideas, gestión de mercadeo, gestión de producción (incluido producción más limpia), organización, legalización de una empresa, gestión financiera.","Se han capacitado aproximadamente a 500 emprendedores en un período de cuatro años. Los participantes han sido estudiantes de UNI, UNI-Norte, UNA, UNAN-Mga, UNAN-León, INTECNA, CUR-Matagalpa entre otros. ","2010-10-19","Patricia Izamara Medal Zapata","PAE","Si"
"120","Cursos libres de Autocad, Ms project, SPSS, Mantenimiento y reparacion de copmutadira y diseño de paginas web","Estudiantes y publico en general","3","Dos Locales con sesenta y cinco computadoras","Capacitacion en los diferentes nivel de aprendizaje correspondientes a los cursos libres","Personal con mayor capacidad de nivel informatico","2010-10-28","daniel Cuadra Horney","FTI","Si"
"32","Taller Herramientas de Creatividad e Innovación","Dirigido a todas las personas que deseen crear o mejorar un producto o servicio, generando valor agregado a lo que se elabore.","3","Salón amplio, materiales (papelografo, marcadores, maskingtype, tarjetas, etc) equipos audio visuales (computadora y data show), papelería.","Permite conocer y practicar los mecanismos de la creatividad e innovacion aplicada a proyectos para generar nuevos producto y/o servicios; mejorar productos existentes, ahorrar en costos, marcar la diferenciación de la competencia, mejorar competitividad, incrementar las ventas.","\N","2010-10-19","Patricia Izamara Medal Zapata","PAE","Si"
"25","Calibración y certificación de manómetros hasta 120 MPa","Empresas de las ramas o sectores de fármacos, hidrocarburos, plasticos, cemento, azucarero, y de empresas de reparación, mantenimiento y comercialización de equipos. ","13","Laboratorio de presión diseñado para mantener condiciones de ambiente (temperatura, humedad, presión), balanza de peso muerto, manómetros patrones, equipos auxiliares, computadora para procesar datos","Las calibraciones de los manómetros se realizan de conformidad a procedimientos y métodos normalizados o reconocidos internacionalmente y con patrones y equipos con trazable internacional.","Brindados 51 servicios de calibración (enero-agosto 2010) de manómetros a empresas de las ramas o sectores de fármacos, hidrocarburos, plasticos, cemento, azucarero, y de empresas de reparación, mantenimiento y comercialización de equipos. ","2010-10-14","Gustavo A. Montiel","LANAMET","Si"
"33","Inteligencia de Mercado","Profesionales de las áreas económicas, y demás carreras afines, interesados en especializarse en temas marketing internacional y la internacionalización empresarial.  
1.	Ejecutivos, especialistas, analistas  y Funcionarios de empresas vinculadas al Comercio Internacional. 
2.	Funcionarios independientes, gestores relacionados a la actividad exportadora.
3.	Profesionales y PYMES.
4.	Todos aquellos profesionales con deseos de prepararse en estrategias de internacionalización de empresas. 
5.	Profesionales de no gubernamentales que brindan asistencia técnica a los productores con potencial exportador.
6.	Profesionales independientes, que deseen incursionar en las actividades de comercio internacional.","22","Salón con A/C. Equipos Audivisuales (computadora y data show), papelería (fotocopias, encolochados), Refrigerios","Formar profesionales con conocimientos especializados, e instrumentos de análisis sobre los factores que influyen en el entorno del  marketing internacional y  proceso que involucra al comercio internacional (gerencia de mercadeo, investigación de mercados, canales de distribución, proceso de exportaciones, sistemas de información comercial, internacionalización de PYMES, barreras arancelarias y no arancelarias, etc.)","\N","2010-10-19","Patricia Izamara Medal Zapata","PAE","Si"
"31","Educación Financiera","Empresarias y/o Empresarios con estudios básicos (mínimo tercer grado aprobado)","3","Local amplio, papeleria, materiales (papelografos, marcadores, maskingtype, pega, reglas, lapices de grafito, juego de legos, dinero falso, entre otros)","Promover habilidades en los y las empresarios  que permitan mejorar  comportamientos de Liderazgo empresarial  que le  conducen a un mayor ahorro, un gasto más prudente y un endeudamiento justificado, así como tomar conciencia de su Responsabilidad a lo interno y externo de la empresa.","Se capacitaron aproximadamente a 400 empresarios tanto en el casco urbano como rural a nivel nacional. Entre los municipios donde se desarrolló este taller están: ciudad sandino, tipitapa, ticuantepe, siuna, juigalpa (comunidades cercanas incluida El Rama), estelí, matagalpa, entre otros.","2010-10-19","Patricia Izamara Medal Zapata","PAE","Si"
"84","Desarrollar y evalúar aplicaciones informáticas que se pueden emplear como herramientas para favorecer aprendizajes.","Docentes","35","Internet, Servidores, Computadoras","\N","\N","2010-10-27","Norman René Trujillo Zapata","uol","Si"
"139","Curso sobre Sistemas de Información Geográfica","Funcionarios de Alcaldías municipales","3","Aulas especializadas, softwares","Capacitación sobre Arc View / Arc Gis","Funcionarios graduados en Sistemas de Información Geográfica","2010-10-30","Wilfredo Varela Fonseca","PEAUT","Si"
"74","Diplomado en Gestión y Evaluación de Impacto Ambiental en Infraestructura y Equipamiento Social","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","25","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental","Formación en Diplomado en Gestión y Evaluación de Impacto Ambiental en Infraestructura y Equipamiento Social","Graduados Diplomados en Gestión y Evaluación de Impacto Ambiental en Infraestructura y Equipamiento Social. Clientes o Entidades a quien se ha brindado el Servicio: ministerio de Transporte e Infraestructura","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
"23","Calibración y certificación de termómetros líquido en vidrio de -20 °C a 200 °C, digitales, y bimetálicos de -20 °C a 400 °C","Empresas de las ramas o sectores de laboratorios de ensayos y calibración , centros de investigación, hidrocarburo, lácteos, industria de embutidos (carne de res y pollo) cemento, fármacos zonas francas, productos del mar (mariscos), agrícola, empresas de reparación, mantenimiento y comercialización de instrumentos de medición.","13","Laboratorio de masas diseñado par mantener condiciones de ambiente controlado de temperatura, humedad relativa, y presión, juegos de termómetros patrones de resistencia de platino, Celda de punto triple del agua, baños termostáticos, horno,  dispositivos y equipos auxiliares trazables a Laboratorios Nacionales Primarios (trazabilidad internacional) ,y equipos de computación.","Las calibraciones de los termómetros se realizan por comparación a los termómetros patrones de conformidad a procedimientos y métodos normalizados o reconocidos internacionalmente.","Brindados 122 servicios de calibración (enero-agosto 2010) a las empresas de las ramas o sectores de laboratorios de ensayos y calibración , centros de investigación, hidrocarburo, lácteos, industria de embutidos (carne de res y pollo) cemento, fármacos zonas francas, productos del mar (mariscos), agrícola, empresas de reparación, mantenimiento y comercialización de instrumentos de medición.","2010-10-13","Gustavo A. Montiel","LANAMET","Si"
"21","Calibración y certificación de instrumentos para pesar (balanzas-básculas) hasta 500 kg","Empresas de las ramas o sectores de Hidrocarburo, fármacos, agrícola, alimentos (lácteos, cerveza, pollo, café, cereales,) plásticos, mariscos, empresas de reparación, mantenimiento y comercialización de instrumentos de pesaje, laboratorios de ensayos y calibración , centros de investigación.","13","Juegos de masas con la exactitud de acuerdo a los requerimientos metrológicos de las balanzas a calibrar, dispositivos para tomar lecturas de las condiciones de ambiente (las calibraciones de las balanzas se llevan a cabo en campo o sitio de trabajo), computadora para procesar datos.","Las calibraciones de las balanzas se realizan de conformidad a procedimientos y métodos normalizados o reconocidos internacionalmente (Guía para la calibración de instrumentos de pesaje de funcionamiento no automático-NAWI- o OIML_R-76 )","Brindadas 645 calibraciones de balanzas (enero-agosto 2010) en empresas de las ramas o sectores de Hidrocarburo, fármacos, agrícola, alimentos (lácteos, carnes vacuna y cerdo, cerveza, pollo, café, cereales,) plásticos, mariscos, empresas de reparación, mantenimiento y comercialización de instrumentos de pesaje, laboratorios de ensayos y calibración , centros de investigación","2010-10-13","Gustavo A. Montiel","LANAMET","Si"
"63","Especialidad en Medio Ambiente y Desarrollo Urbano Territorial","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","29","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental","Formación de Especialistas en. Medio Ambiente y Desarrollo Urbano Territorial (MADUT).","Graduados Especialistas en MADUT. Clientes o Entidades a quien se brindó el servicio: Funcionarios de Instituciones Públicas y Privadas","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
"27","Calibración y certificación de patrones de volumen de de 1 ml a 1000 litros","Empresas de las ramas o sectores de laboratorios de ensayos y calibración , centros de investigación, hidrocarburo, fármacos, industria de alimento (lácteos, cerveza) empresas de reparación, mantenimiento y comercialización de instrumentos de medición volumétricos.","13","Laboratorio de volumen diseñado para mantener condiciones de ambiente controlado de temperatura, humedad relativa, y presión, juegos de masas clase  E2, F1, M1,  balanzas clase I, dispositivos y equipos auxiliares con trazabilidad internacional, equipo de computación.","Las calibraciones de los patrones de volumen se realizan por métidos gravimétricos y por transferencia volumétrica, según el caso de conformidad a procedimientos normalizados o reconocidos internacionalmente.","Brindados 46 servicios de calibración (enero -agosto 2010) a empresas de las ramas o sectores de laboratorios de ensayos y calibración , centros de investigación, hidrocarburo, fármacos, industria de alimento (lácteos, cerveza) empresas de reparación, mantenimiento y comercialización de instrumentos de medición volumétricos.","2010-10-16","Gustavo A. Montiel","LANAMET","Si"
"64","Diplomado en Gestión Ambiental Municipal","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","25","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental




","Formación de Diplomados en Gestión Ambiental Municipal.","Graduados Diplomados en Gestión Ambiental Municipal. Formación de Especialistas en. Clientes o Entidades a quien se brindó el servicio: Funcionarios de Alcaldías municipales","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
